org_cst_key,org_name,org_ogt_code,org_state_incorporated,n53_municipal_type,org_metropolitan_area_ext,org_fips_place_ext,org_prefix_ext,org_city_name_ext,org_fips_county_subdivision_ext
6b1a6f68-e770-4d9c-9fc8-15f7e141a58a,City of Echo,City,OR,City,NULL,4122200,City of,Echo,NULL
9920dfd0-14c7-4faa-8be8-15faed30cbc3,Town of Enfield,City,ME,Town,NULL,2301923620,Town of,Enfield,NULL
0903e07f-4e3d-41f4-9d84-15fcba9e94bc,City of Clearfield,City,IA,City,NULL,1913980,City of,Clearfield,NULL
7ea551e6-5d02-48b4-8d21-15fef52dc215,"Playworld Systems, Inc.",Organization,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21c1d359-c347-42a6-a8e8-15ff2b833be8,Village of Poland,City,OH,Village,NULL,3963954,Village of,Poland,NULL
f8e08ef9-eb93-4dca-8bd5-16006f4ddd50,County of Boone,County,KY,NULL,NULL,NULL,NULL,NULL,NULL
9505e716-5ceb-4aba-9b07-16078a1bf8b1,City of Clay Center,City,NE,City,NULL,3109375,City of,Clay Center,NULL
3a0cf1bb-a7ff-4f98-b9da-160bd8a4319d,City of Clearfield,City,UT,City,NULL,4913850,City of,Clearfield,NULL
ab2eca00-e7f1-44cc-bfce-160cc4f079f8,"Congressional Hispanic Caucus Institute, Inc",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1956d3b0-c580-405c-b3aa-160e5752722b,The Traffic Group,Private Sector Company,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34d03ba0-4481-475f-a27e-160e5c3bf99c,Village of Owensville,City,OH,Village,NULL,3959220,Village of,Owensville,NULL
